Longitud,Amplitud
500.27,1.26E+00
501.04,7.14E-01
501.82,8.87E-01
502.6,7.04E-01
503.38,1.40E+00
504.15,6.96E-01
504.93,8.62E-01
505.71,5.15E-01
506.48,3.41E-01
507.26,5.07E-01
508.04,1.01E+00
508.82,1.17E+00
509.59,4.97E-01
510.37,9.85E-01
511.15,9.82E-01
511.92,6.53E-01
512.7,9.73E-01
513.47,1.61E-01
514.25,6.42E-01
515.03,3.18E-01
515.8,4.74E-01
516.58,6.29E-01
517.36,9.38E-01
518.13,6.24E-01
518.91,6.19E-01
519.68,6.20E-01
520.46,4.63E-01
521.24,7.64E-01
522.01,9.18E-01
522.79,7.62E-01
523.56,3.03E-01
524.34,6.05E-01
525.11,1.05E+00
525.89,7.50E-01
526.66,1.49E-01
527.44,5.99E-01
528.21,2.98E-01
528.99,5.93E-01
529.76,8.89E-01
530.54,1.48E-01
531.31,8.86E-01
532.09,5.87E-01
532.86,5.83E-01
533.64,4.37E-01
534.41,7.23E-01
535.19,8.66E-01
535.96,8.64E-01
536.74,5.74E-01
537.51,4.28E-01
538.28,7.11E-01
539.06,8.52E-01
539.83,7.09E-01
540.61,1.42E+00
541.38,7.09E-01
542.15,7.04E-01
542.93,1.13E+00
543.7,7.04E-01
544.48,9.85E-01
545.25,7.01E-01
546.02,5.60E-01
546.8,1.12E+00
547.57,6.98E-01
548.34,8.35E-01
549.12,9.70E-01
549.89,6.93E-01
550.66,4.15E-01
551.43,1.10E+00
552.21,4.15E-01
552.98,6.88E-01
553.75,6.86E-01
554.53,5.49E-01
555.3,5.47E-01
556.07,8.17E-01
556.84,2.73E-01
557.62,6.80E-01
558.39,4.08E-01
559.16,6.82E-01
559.93,5.45E-01
560.71,4.08E-01
561.48,9.54E-01
562.25,4.07E-01
563.02,5.43E-01
563.79,2.70E-01
564.57,1.08E+00
565.34,2.69E-01
566.11,4.03E-01
566.88,1.21E+00
567.65,2.68E-01
568.42,4.00E-01
569.2,6.67E-01
569.97,9.31E-01
570.74,7.97E-01
571.51,5.31E-01
572.28,6.60E-01
573.05,9.23E-01
573.82,3.95E-01
574.59,7.88E-01
