Tiempo,Voltaje,Corriente
12:18:32 PM,-0.007823,0
12:18:34 PM,-0.007801,0
12:18:36 PM,-0.007776,0
12:18:39 PM,-0.007746,0
12:18:41 PM,-0.007719,0
12:18:43 PM,-0.007703,0
12:18:45 PM,-0.00768,0
12:18:48 PM,-0.007663,0
12:18:50 PM,-0.007648,0
12:18:52 PM,-0.007633,0
12:18:54 PM,-0.007619,0
12:18:56 PM,-0.007606,0
12:18:59 PM,-0.007596,0
12:19:01 PM,-0.007583,0
12:19:03 PM,-0.007571,0
12:19:05 PM,-0.007558,0
12:19:07 PM,-0.00755,0
12:19:10 PM,-0.007547,0
12:19:12 PM,-0.007536,0
12:19:14 PM,-0.007525,0
12:19:17 PM,-0.007327,0
12:19:18 PM,0.306834,0.023212
12:19:21 PM,0.39487,0.023328
12:19:23 PM,0.394855,0.023313
12:19:25 PM,0.394862,0.023311
12:19:27 PM,0.395338,0.023353
12:19:30 PM,0.395346,0.023318
12:19:32 PM,0.395353,0.023337
12:19:34 PM,0.395358,0.023339
12:19:36 PM,0.395358,0.023325
12:19:38 PM,0.395388,0.023333
12:19:41 PM,0.395336,0.023337
12:19:43 PM,0.395345,0.023318
12:19:45 PM,0.395342,0.023336
12:19:47 PM,0.395343,0.023359
12:19:50 PM,0.395351,0.023315
12:19:52 PM,0.395343,0.023309
12:19:54 PM,0.395346,0.023326
12:19:56 PM,0.39534,0.023298
12:19:58 PM,0.395348,0.023324
12:20:01 PM,0.395352,0.02333
12:20:03 PM,0.395358,0.023308
12:20:05 PM,0.395356,0.02333
12:20:07 PM,0.395364,0.023373
12:20:09 PM,0.395361,0.023342
12:20:12 PM,0.395357,0.023315
12:20:14 PM,0.395356,0.023367
12:20:16 PM,0.395357,0.023349
12:20:18 PM,0.395358,0.023331
12:20:21 PM,0.395358,0.023341
12:20:23 PM,0.39518,0.030541
12:20:25 PM,0.71015,0.046736
12:20:27 PM,0.800142,0.046746
12:20:30 PM,0.800145,0.046763
12:20:32 PM,0.800155,0.046739
12:20:34 PM,0.80116,0.046808
12:20:36 PM,0.801083,0.046827
12:20:38 PM,0.801091,0.046764
12:20:41 PM,0.801089,0.046773
12:20:43 PM,0.801025,0.046795
12:20:45 PM,0.801061,0.046808
12:20:47 PM,0.801058,0.046822
12:20:50 PM,0.801051,0.046828
12:20:52 PM,0.80105,0.046842
12:20:54 PM,0.80106,0.046849
12:20:56 PM,0.801067,0.046806
12:20:58 PM,0.801162,0.04682
12:21:01 PM,0.801102,0.046818
12:21:03 PM,0.80114,0.046833
12:21:05 PM,0.801158,0.046802
12:21:07 PM,0.801138,0.046832
12:21:09 PM,0.801076,0.046806
12:21:12 PM,0.801094,0.046848
12:21:14 PM,0.801097,0.04685
12:21:16 PM,0.801133,0.046806
12:21:18 PM,0.801132,0.04681
12:21:21 PM,0.801119,0.046845
12:21:23 PM,0.801153,0.046831
12:21:25 PM,0.801142,0.046808
12:21:27 PM,0.801134,0.046842
12:21:30 PM,0.800901,0.054325
12:21:32 PM,1.12357,0.071413
12:21:34 PM,1.22304,0.07142
12:21:36 PM,1.22313,0.071439
12:21:38 PM,1.2232,0.071453
12:21:41 PM,1.22473,0.071555
12:21:43 PM,1.22473,0.071537
12:21:45 PM,1.22479,0.071595
12:21:47 PM,1.22478,0.071566
12:21:50 PM,1.22476,0.071556
12:21:52 PM,1.22475,0.071576
12:21:54 PM,1.22478,0.071593
12:21:56 PM,1.22477,0.07156
12:21:58 PM,1.22478,0.071572
12:22:01 PM,1.22479,0.071559
12:22:03 PM,1.22476,0.07156
12:22:05 PM,1.2248,0.071549
12:22:07 PM,1.22476,0.071578
12:22:09 PM,1.2247,0.071559
12:22:12 PM,1.22483,0.071591
12:22:14 PM,1.22482,0.071605
12:22:16 PM,1.22476,0.07156
12:22:18 PM,1.22471,0.071572
12:22:21 PM,1.22467,0.071592
12:22:23 PM,1.22481,0.071559
12:22:25 PM,1.22471,0.071574
12:22:27 PM,1.22478,0.071603
12:22:29 PM,1.22478,0.071555
12:22:32 PM,1.22475,0.071549
12:22:34 PM,1.22472,0.071538
12:22:36 PM,1.22467,0.079181
12:22:38 PM,1.54454,0.095497
12:22:41 PM,1.63303,0.095579
12:22:43 PM,1.63304,0.095541
12:22:45 PM,1.63298,0.095578
12:22:47 PM,1.63504,0.09573
12:22:49 PM,1.63513,0.095746
12:22:52 PM,1.63516,0.095727
12:22:54 PM,1.63515,0.095754
12:22:56 PM,1.63506,0.095767
12:22:58 PM,1.63509,0.095745
12:23:01 PM,1.635,0.095752
12:23:03 PM,1.63486,0.095718
12:23:05 PM,1.63509,0.095737
12:23:07 PM,1.63513,0.095803
12:23:09 PM,1.63507,0.095734
12:23:12 PM,1.63503,0.095742
12:23:14 PM,1.63504,0.095767
12:23:16 PM,1.63497,0.095734
12:23:18 PM,1.63502,0.095749
12:23:21 PM,1.63497,0.095764
12:23:23 PM,1.63503,0.095746
12:23:25 PM,1.63504,0.095766
12:23:27 PM,1.6351,0.095786
12:23:29 PM,1.63501,0.095745
12:23:32 PM,1.6351,0.095755
12:23:34 PM,1.63503,0.095755
12:23:36 PM,1.63501,0.095742
12:23:38 PM,1.63504,0.095761
12:23:40 PM,1.63501,0.095772
12:23:43 PM,1.63491,0.103206
12:23:45 PM,1.95088,0.11956
12:23:47 PM,2.03744,0.119581
12:23:49 PM,2.03746,0.119552
12:23:52 PM,2.03737,0.119626
12:23:54 PM,2.03997,0.119798
12:23:56 PM,2.03995,0.119826
12:23:58 PM,2.0399,0.119758
12:24:01 PM,2.04015,0.119809
12:24:03 PM,2.03993,0.119825
12:24:05 PM,2.03995,0.11984
12:24:07 PM,2.04,0.119809
12:24:09 PM,2.04004,0.11985
12:24:12 PM,2.03984,0.119852
12:24:14 PM,2.03992,0.119827
12:24:16 PM,2.03987,0.119831
12:24:18 PM,2.03985,0.119813
12:24:20 PM,2.03989,0.119857
12:24:23 PM,2.03994,0.119829
12:24:25 PM,2.03987,0.119848
