Tiempo,Corriente,Temperatura,Corriente2
0.0057766,0.000181016643,21,0.181016643
1.1255745,0.000181253373,21.43,0.181253373
2.1451138,0.000181165145,22.51,0.181165145
3.1645677,0.000181013063,22.52,0.181013063
4.1835328,0.000181143928,22.52,0.181143928
5.2033891,0.000181017894,22.42,0.181017894
6.2230515,0.000181082228,22.44,0.181082228
7.2441046,0.000181027644,22.44,0.181027644
8.263468,0.000180994189,22.44,0.180994189
9.2829192,0.000181094903,22.52,0.181094903
10.3028903,0.000181104041,22.56,0.181104041
11.3231311,0.000181105948,22.44,0.181105948
12.3427289,0.000943408405,22.43,0.943408405
13.361934,0.00249979505,22.44,2.49979505
14.3810434,0.00365208834,22.46,3.65208834
15.4004587,0.00365223106,22.46,3.65223106
16.4201936,0.00365236564,22.46,3.65236564
17.4404171,0.00365218962,22.46,3.65218962
18.4598695,0.00365198054,22.46,3.65198054
19.4795735,0.00365225737,22.5,3.65225737
20.4988325,0.00365229672,22.44,3.65229672
21.5187988,0.00365233328,22.4,3.65233328
22.5380248,0.00365193909,22.5,3.65193909
23.557774,0.00365215889,22.46,3.65215889
24.5768356,0.003652232,22.5,3.652232
25.5963544,0.00365217938,22.44,3.65217938
26.6171992,0.0036519533,22.4,3.6519533
27.6362182,0.003652076,22.44,3.652076
28.6575234,0.00365202501,22.44,3.65202501
29.6776479,0.0036519838,22.46,3.6519838
30.6974584,0.00365196308,22.44,3.65196308
31.716915,0.00365190138,22.4,3.65190138
32.7363406,0.00365213607,22.42,3.65213607
33.755916,0.00365199544,22.4,3.65199544
34.7754153,0.0036520739,22.4,3.6520739
35.7956524,0.00365213304,22.4,3.65213304
36.8151557,0.0036521214,22.44,3.6521214
37.8349736,0.00365212396,22.34,3.65212396
38.8543645,0.00365212582,22.39,3.65212582
39.8736142,0.00365222292,22.49,3.65222292
40.8929605,0.00365214888,22.44,3.65214888
41.9125198,0.00365230906,22.44,3.65230906
42.9321721,0.00365236238,22.46,3.65236238
43.9515556,0.00365237821,22.46,3.65237821
44.9712376,0.00365225761,22.4,3.65225761
45.9903768,0.0036522136,22.4,3.6522136
47.0101097,0.00365252653,22.4,3.65252653
48.0302393,0.00365241104,22.44,3.65241104
49.0498914,0.00365264131,22.44,3.65264131
50.0692378,0.00365242245,22.4,3.65242245
51.0889655,0.00365269207,22.4,3.65269207
52.1083732,0.00365262432,22.5,3.65262432
53.1279421,0.00365273701,22.45,3.65273701
54.1468923,0.0036527412,22.44,3.6527412
55.1667258,0.00365293235,22.36,3.65293235
56.1858702,0.003652849,22.35,3.652849
57.2057425,0.00365271582,22.39,3.65271582
58.2256765,0.00365241058,22.46,3.65241058
59.2456481,0.00365268508,22.4,3.65268508
60.2650936,0.00365266134,22.4,3.65266134
61.285091,0.00365259335,22.4,3.65259335
62.3048467,0.0036525831,22.4,3.6525831
63.3246138,0.00365244597,22.46,3.65244597
64.344253,0.00365227297,22.4,3.65227297
65.3633257,0.00365241128,22.4,3.65241128
66.3826511,0.00365230627,22.4,3.65230627
67.4019979,0.00365231605,22.4,3.65231605
68.421168,0.00365256215,22.36,3.65256215
69.4402333,0.00365245831,22.33,3.65245831
70.4590031,0.00365235377,22.35,3.65235377
71.4791064,0.00365235679,22.43,3.65235679
72.4980639,0.00365238939,22.4,3.65238939
73.5178827,0.00365242734,22.36,3.65242734
74.5375102,0.00365233747,22.43,3.65233747
75.5568326,0.00365229393,22.46,3.65229393
76.5760527,0.00365277123,22.44,3.65277123
77.5956861,0.00365288555,22.4,3.65288555
78.6151676,0.00365273281,22.36,3.65273281
79.6353901,0.00365291815,22.38,3.65291815
80.6545638,0.00365264015,22.4,3.65264015
81.7040512,0.00365278311,22.36,3.65278311
82.7241052,0.00365258613,22.39,3.65258613
83.7441488,0.00365287601,22.4,3.65287601
84.7635175,0.0036528916,22.4,3.6528916
85.7830723,0.00365288066,22.36,3.65288066
86.8030548,0.00365287717,22.35,3.65287717
87.8221897,0.00365293072,22.35,3.65293072
88.8413617,0.00365282455,22.35,3.65282455
89.8880432,0.00365282152,22.35,3.65282152
90.9069687,0.00365293514,22.39,3.65293514
91.9272869,0.00365293957,22.36,3.65293957
92.9473839,0.00365310278,22.37,3.65310278
93.9670481,0.0036531412,22.4,3.6531412
94.9863657,0.00365331233,22.44,3.65331233
96.0061244,0.00365330674,22.44,3.65330674
97.097993,0.00365323945,22.4,3.65323945
98.1184191,0.0036532816,22.4,3.6532816
99.1380958,0.00365327997,22.36,3.65327997
100.182473,0.00365342246,22.35,3.65342246
101.2023712,0.0036533398,22.35,3.6533398
102.2217375,0.00365340244,22.39,3.65340244
103.269447,0.00365356542,22.4,3.65356542
104.2890374,0.00365372281,22.36,3.65372281
105.3086586,0.00365362479,22.35,3.65362479
106.3915438,0.00365362502,22.43,3.65362502
107.4104355,0.00365359312,22.44,3.65359312
108.4295436,0.00365356123,22.5,3.65356123
109.4484189,0.00365367298,22.44,3.65367298
110.5262792,0.00365368206,22.4,3.65368206
111.545791,0.00365369929,22.34,3.65369929
112.5653932,0.00365382805,22.37,3.65382805
113.617873,0.00365370581,22.36,3.65370581
114.6375256,0.00365379336,22.43,3.65379336
115.6575786,0.00365358544,22.4,3.65358544
116.7071091,0.0036537107,22.36,3.6537107
117.7266395,0.003653788,22.39,3.653788
118.7461469,0.0036538213,22.36,3.6538213
119.7656267,0.00365395355,22.29,3.65395355
120.7850526,0.0036538986,22.35,3.6538986
121.8042156,0.00365392072,22.35,3.65392072
122.8237468,0.00365398125,22.35,3.65398125
123.8427976,0.00365403969,22.43,3.65403969
124.9314806,0.00365405995,22.36,3.65405995
125.9512686,0.00365428812,22.34,3.65428812
127.0183575,0.00365541526,22.49,3.65541526
128.0384481,0.00365596357,22.4,3.65596357
129.0575215,0.00365617941,22.36,3.65617941
130.1098122,0.00365640129,22.43,3.65640129
131.1301997,0.00365642923,22.36,3.65642923
132.1497379,0.00365635054,22.37,3.65635054
133.231377,0.00365620851,22.4,3.65620851
134.2511238,0.00365608278,22.36,3.65608278
135.3147293,0.00365707371,22.29,3.65707371
136.3346017,0.00365744531,22.35,3.65744531
137.3540417,0.00365775823,22.35,3.65775823
138.4141559,0.00365807441,22.33,3.65807441
139.4337783,0.00365827628,22.34,3.65827628
140.4536488,0.00365850981,22.49,3.65850981
141.4733639,0.00365883135,22.4,3.65883135
142.4925305,0.00365900248,22.36,3.65900248
143.5123713,0.00365928071,22.35,3.65928071
144.5314741,0.00365973543,22.39,3.65973543
145.5512895,0.00366012565,22.44,3.66012565
146.6144569,0.00366035429,22.4,3.66035429
147.6345628,0.00366058596,22.46,3.66058596
148.6538002,0.00366111402,22.36,3.66111402
149.6731585,0.00366142764,22.39,3.66142764
150.692691,0.00366169004,22.4,3.66169004
151.7123006,0.00366175128,22.4,3.66175128
152.7323704,0.0036619585,22.36,3.6619585
153.7529858,0.00366218225,22.39,3.66218225
154.8345454,0.00366234872,22.44,3.66234872
155.8538453,0.00366262928,22.4,3.66262928
156.8730616,0.00366290309,22.36,3.66290309
157.8924455,0.00366336968,22.39,3.66336968
158.9170077,0.00366392568,22.44,3.66392568
159.9371556,0.00366389029,22.5,3.66389029
160.9572118,0.00366428261,22.4,3.66428261
162.0035106,0.00366443302,22.44,3.66443302
163.0227809,0.00366461882,22.36,3.66461882
164.0424422,0.00366465584,22.43,3.66465584
165.1232688,0.00366483465,22.46,3.66483465
166.1427346,0.00366517785,22.4,3.66517785
167.2070174,0.00366523885,22.46,3.66523885
168.2274773,0.00366560206,22.44,3.66560206
169.2465744,0.00366574153,22.5,3.66574153
170.2662548,0.00366585562,22.36,3.66585562
171.2867692,0.00366641022,22.43,3.66641022
172.3108945,0.00366679485,22.42,3.66679485
173.3304408,0.00366676179,22.5,3.66676179
174.3503901,0.00366712664,22.44,3.66712664
175.4321147,0.00366723537,22.4,3.66723537
176.4523686,0.00366742978,22.4,3.66742978
177.5168912,0.00366754829,22.44,3.66754829
178.536009,0.00366775272,22.44,3.66775272
179.5550247,0.00366799579,22.5,3.66799579
180.5748247,0.00366814737,22.52,3.66814737
181.594585,0.00366853363,22.5,3.66853363
182.614157,0.00366883026,22.44,3.66883026
183.6335287,0.00366888847,22.44,3.66888847
184.6533917,0.00366925937,22.4,3.66925937
185.7433293,0.00366894481,22.33,3.66894481
186.7625902,0.00366884237,22.43,3.66884237
187.8352321,0.00366861536,22.4,3.66861536
188.8548734,0.0036682228,22.5,3.6682228
189.8746827,0.00366790266,22.5,3.66790266
190.9588899,0.0036675455,22.44,3.6675455
191.9786104,0.00366755528,22.4,3.66755528
193.0496076,0.00366748729,22.4,3.66748729
194.0697722,0.00366727961,22.36,3.66727961
195.0892359,0.00366721348,22.49,3.66721348
196.1292958,0.00366693269,22.5,3.66693269
197.1493662,0.00366659485,22.44,3.66659485
198.1683124,0.00366679579,22.5,3.66679579
199.2171857,0.00366653688,22.44,3.66653688
200.2366181,0.0036664626,22.5,3.6664626
201.256283,0.00366625469,22.52,3.66625469
202.3492827,0.00366638833,22.44,3.66638833
203.369074,0.00366648985,22.46,3.66648985
204.3882302,0.00366616807,22.44,3.66616807
205.4079134,0.00366639671,22.44,3.66639671
206.4272167,0.00366599136,22.44,3.66599136
207.4471511,0.00366605818,22.44,3.66605818
208.466217,0.00366606796,22.5,3.66606796
209.4861244,0.00366593385,22.52,3.66593385
210.5050331,0.00366591452,22.44,3.66591452
211.5301353,0.0036659839,22.4,3.6659839
212.5503821,0.00366581394,22.44,3.66581394
213.5698852,0.00366579205,22.44,3.66579205
214.6113112,0.00482204603,22.56,4.82204603
215.6314315,0.00597611954,22.52,5.97611954
216.6505715,0.00712728314,22.44,7.12728314
217.6698382,0.00712759932,22.4,7.12759932
218.6895474,0.00712750107,22.4,7.12750107
219.7094732,0.00712774228,22.36,7.12774228
220.7286018,0.00712769245,22.39,7.12769245
221.7486633,0.00712765799,22.44,7.12765799
222.7871677,0.00712712295,22.36,7.12712295
223.8068507,0.00712695764,22.35,7.12695764
224.8260999,0.0071273786,22.35,7.1273786
225.8453408,0.00712708057,22.49,7.12708057
226.8644795,0.00712710665,22.37,7.12710665
227.8898637,0.00712722819,22.4,7.12722819
228.9096958,0.00712723238,22.44,7.12723238
229.9293025,0.00712704891,22.36,7.12704891
231.0104742,0.00712711643,22.45,7.12711643
232.0300405,0.00712689245,22.44,7.12689245
233.0937773,0.00712662935,22.45,7.12662935
234.1135901,0.00712667359,22.5,7.12667359
235.1331463,0.00712672993,22.44,7.12672993
236.1799315,0.00712687568,22.44,7.12687568
237.1998203,0.00712714437,22.4,7.12714437
238.2198933,0.00712690595,22.4,7.12690595
239.2391932,0.00712664425,22.44,7.12664425
240.2619666,0.0071262787,22.5,7.1262787
241.2813091,0.00712632201,22.46,7.12632201
242.3013784,0.00712622748,22.36,7.12622748
243.3214753,0.00712620094,22.49,7.12620094
244.4527552,0.00712613435,22.44,7.12613435
245.4728247,0.00712613435,22.44,7.12613435
246.5595306,0.00712611153,22.41,7.12611153
247.5784405,0.00712596112,22.44,7.12596112
248.6010048,0.0071260482,22.4,7.1260482
249.6212604,0.00712590757,22.44,7.12590757
250.6411204,0.00712573761,22.44,7.12573761
251.6602053,0.00712573248,22.5,7.12573248
252.6800089,0.00712602492,22.44,7.12602492
253.6999926,0.0071264049,22.46,7.1264049
254.827382,0.00712579581,22.4,7.12579581
255.8473574,0.00712582841,22.5,7.12582841
256.9244222,0.00712576089,22.46,7.12576089
257.9440836,0.00712545309,22.46,7.12545309
258.9638935,0.00712531106,22.44,7.12531106
260.0148412,0.00790957361,22.5,7.90957361
261.0348167,0.0090548247,22.46,9.0548247
262.0548092,0.0106006646,22.46,10.6006646
263.1006969,0.0105808861,22.52,10.5808861
264.1204148,0.0105805071,22.46,10.5805071
265.1402046,0.0105805378,22.5,10.5805378
266.1594148,0.0105805201,22.5,10.5805201
267.1789992,0.010580657,22.43,10.580657
268.2068645,0.0105804847,22.44,10.5804847
269.2263732,0.0105811245,22.46,10.5811245
270.2460708,0.0105809299,22.5,10.5809299
271.3122552,0.0105809513,22.5,10.5809513
272.3316723,0.0105806645,22.4,10.5806645
273.3507416,0.0105800749,22.5,10.5800749
274.4291154,0.0105804018,22.44,10.5804018
275.4481869,0.0105804288,22.46,10.5804288
276.4680202,0.0113785471,22.46,11.3785471
277.48794,0.012909498,22.46,12.909498
278.6073446,0.014040362,22.46,14.040362
279.6274845,0.0140411285,22.46,14.0411285
280.6473477,0.0140624819,22.39,14.0624819
281.6659343,0.0154602276,22.46,15.4602276
282.6858297,0.0167786143,22.46,16.7786143
283.70552,0.0175053216,22.44,17.5053216
284.7254212,0.0183158703,22.46,18.3158703
285.7460211,0.0198654681,22.58,19.8654681
286.7658977,0.0209752321,22.45,20.9752321
287.7855722,0.0217810347,22.46,21.7810347
288.8048411,0.0229246485,22.46,22.9246485
289.8244119,0.0240517798,22.5,24.0517798
290.8438827,0.0243986714,22.44,24.3986714
291.863335,0.0255967248,22.44,25.5967248
292.8827525,0.0267313402,22.56,26.7313402
294.0457663,0.0278283432,22.46,27.8283432
295.0660078,0.027828684,22.56,27.828684
296.0852507,0.0278292689,22.46,27.8292689
297.1048199,0.0278303213,22.46,27.8303213
298.1242048,0.0278303138,22.46,27.8303138
299.1433466,0.0278296694,22.4,27.8296694
300.1629751,0.0286529045,22.46,28.6529045
301.182743,0.0298131816,22.46,29.8131816
302.2022482,0.0309477113,22.5,30.9477113
303.2217795,0.0312787815,22.46,31.2787815
304.2416712,0.0321008712,22.46,32.1008712
305.2609267,0.0332395769,22.56,33.2395769
306.3075296,0.0347119271,22.44,34.7119271
307.3277039,0.0355072431,22.58,35.5072431
