Tiempo,Corriente,Temperatura,Corriente2
0.0082001,0.000189918166,24.43,0.189918166
1.1289667,0.000190065606,24.43,0.190065606
2.1481912,0.000189887956,24.37,0.189887956
3.1679961,0.000190022168,24.33,0.190022168
4.1872298,0.000190084654,24.39,0.190084654
5.2060703,0.000190152291,24.39,0.190152291
6.2256896,0.00553740561,24.36,5.53740561
7.2459178,0.0135684246,24.49,13.5684246
8.360816,0.0242643151,24.4,24.2643151
9.38365,0.0242775771,24.45,24.2775771
10.404804,0.0350246354,24.37,35.0246354
11.4244615,0.0430830046,24.45,43.0830046
12.4436202,0.0484050549,24.43,48.4050549
13.4625454,0.0565186105,24.51,56.5186105
14.4819731,0.0645712688,24.48,64.5712688
15.5019568,0.0725519955,24.46,72.5519955
16.5219247,0.0725624263,24.45,72.5624263
17.5413166,0.0725701823,24.39,72.5701823
18.561544,0.0725838541,24.45,72.5838541
19.5810147,0.0725890398,24.51,72.5890398
20.6004645,0.0725803077,24.5,72.5803077
21.6200057,0.0725867971,24.46,72.5867971
22.6393811,0.0725883617,24.55,72.5883617
23.6593296,0.0725941658,24.5,72.5941658
24.6788599,0.07259918,24.5,72.59918
25.6981365,0.0726015865,24.56,72.6015865
26.7188182,0.0726031213,24.5,72.6031213
27.7379343,0.0807301029,24.56,80.7301029
28.7577283,0.0900417342,24.62,90.0417342
29.776967,0.0967958942,24.53,96.7958942
30.7967599,0.0968147069,24.5,96.8147069
31.8163519,0.096812494,24.56,96.812494
32.8354789,0.0968407914,24.56,96.8407914
33.8545185,0.102366849,24.62,102.366849
34.8740873,0.110535457,24.62,110.535457
35.8936296,0.118638746,24.56,118.638746
36.9132979,0.12517175,24.58,125.17175
38.0274198,0.133460506,24.54,133.460506
39.0469485,0.143624052,24.56,143.624052
40.0670904,0.149629548,24.62,149.629548
41.0861544,0.151575922,24.56,151.575922
42.1052241,0.157308816,24.68,157.308816
43.1250965,0.167594417,24.63,167.594417
44.1441132,0.170360594,24.58,170.360594
45.1635939,0.17042689,24.72,170.42689
46.183634,0.176106348,24.65,176.106348
47.2029189,0.183922126,24.64,183.922126
