Longitud,Amplitud
186,572
186.27,-95.83
186.54,-95.83
186.81,-93.83
187.08,-68.83
187.36,11.17
187.63,2.17
187.9,-10.83
188.17,-26.83
188.44,-14.83
188.71,3.17
188.98,9.17
189.25,0.17
189.52,12.17
189.79,-10.83
190.07,13.17
190.34,8.17
190.61,-11.83
190.88,21.17
191.15,25.17
191.42,10.17
191.69,-0.83
191.96,-7.83
192.23,13.17
192.5,-7.83
192.77,-26.83
193.05,-10.83
193.32,-35.83
193.59,-21.83
193.86,-12.83
194.13,-1.83
194.4,14.17
194.67,8.17
194.94,4.17
195.21,13.17
195.48,14.17
195.75,40.17
196.02,23.17
196.29,12.17
196.56,17.17
196.84,8.17
197.11,38.17
197.38,10.17
197.65,-2.83
197.92,-8.83
198.19,10.17
198.46,-29.83
198.73,23.17
199,5.17
199.27,-18.83
199.54,14.17
199.81,32.17
200.08,17.17
200.35,25.17
200.62,-1.83
200.89,-2.83
201.17,23.17
201.44,23.17
201.71,-3.83
201.98,18.17
202.25,20.17
202.52,23.17
202.79,16.17
203.06,9.17
203.33,-20.83
203.6,-8.83
203.87,-4.83
204.14,11.17
204.41,33.17
204.68,-4.83
204.95,14.17
205.22,18.17
205.49,22.17
205.76,21.17
206.03,23.17
206.3,-1.83
206.57,-15.83
206.84,-4.83
207.11,-25.83
207.38,16.17
207.65,22.17
207.92,8.17
208.19,23.17
208.46,24.17
208.74,10.17
209.01,-8.83
209.28,-10.83
209.55,18.17
209.82,17.17
210.09,-13.83
210.36,-17.83
210.63,-14.83
210.9,1.17
211.17,28.17
211.44,8.17
211.71,6.17
211.98,49.17
212.25,5.17
212.52,10.17
212.79,52.17
213.06,9.17
213.33,28.17
213.6,20.17
213.87,14.17
214.14,10.17
214.41,3.17
214.68,31.17
214.95,11.17
215.22,-0.83
215.49,4.17
215.76,-12.83
216.03,6.17
216.3,8.17
216.57,9.17
216.84,24.17
217.11,31.17
217.38,17.17
217.65,26.17
217.92,9.17
218.19,89.17
218.46,128.17
218.73,-9.83
219,-3.83
219.27,14.17
219.54,5.17
219.81,-0.83
220.07,0.17
220.34,-3.83
220.61,20.17
220.88,14.17
221.15,18.17
221.42,1.17
221.69,10.17
221.96,-29.83
222.23,-9.83
222.5,0.17
222.77,4.17
223.04,9.17
223.31,17.17
223.58,-2.83
223.85,12.17
224.12,10.17
224.39,-20.83
224.66,-2.83
224.93,26.17
225.2,6.17
225.47,-9.83
225.74,34.17
226.01,19.17
226.28,34.17
226.55,59.17
226.82,50.17
227.09,-1.83
227.35,-12.83
227.62,38.17
227.89,43.17
228.16,14.17
228.43,-1.83
228.7,7.17
228.97,-3.83
229.24,-7.83
229.51,-14.83
229.78,-6.83
230.05,6.17
230.32,8.17
230.59,-6.83
230.86,-10.83
231.13,-41.83
231.4,-9.83
231.67,39.17
231.93,18.17
232.2,8.17
232.47,18.17
232.74,-4.83
233.01,16.17
233.28,15.17
233.55,19.17
233.82,26.17
234.09,25.17
234.36,16.17
234.63,1.17
234.9,3.17
235.17,9.17
235.43,3.17
235.7,-1.83
235.97,-0.83
236.24,-2.83
236.51,-1.83
236.78,22.17
237.05,-4.83
237.32,25.17
237.59,19.17
237.86,8.17
238.13,-21.83
238.4,-13.83
238.66,9.17
238.93,-39.83
239.2,-11.83
239.47,23.17
239.74,57.17
240.01,7.17
240.28,-0.83
240.55,14.17
240.82,2.17
241.09,3.17
241.35,20.17
241.62,-5.83
241.89,16.17
242.16,18.17
242.43,-33.83
242.7,-29.83
242.97,8.17
243.24,16.17
243.51,5.17
243.77,33.17
244.04,52.17
244.31,48.17
244.58,15.17
244.85,-24.83
245.12,-33.83
245.39,-1.83
245.66,13.17
245.93,2.17
246.19,7.17
246.46,12.17
246.73,-2.83
247,-6.83
247.27,18.17
247.54,-33.83
247.81,-3.83
248.07,22.17
248.34,3.17
248.61,9.17
248.88,12.17
249.15,-9.83
249.42,-15.83
249.69,13.17
249.96,33.17
250.22,21.17
250.49,26.17
250.76,5.17
251.03,9.17
251.3,28.17
251.57,7.17
251.84,-27.83
252.1,6.17
252.37,-10.83
252.64,-1.83
252.91,11.17
253.18,1.17
253.45,-13.83
253.72,2.17
253.98,29.17
254.25,11.17
254.52,-18.83
254.79,-14.83
255.06,14.17
255.33,-19.83
255.59,-3.83
255.86,-10.83
256.13,-39.83
256.4,8.17
256.67,30.17
256.94,-23.83
257.2,-20.83
257.47,-16.83
257.74,-4.83
258.01,-0.83
258.28,-30.83
258.55,-6.83
258.81,18.17
259.08,-2.83
259.35,23.17
259.62,25.17
259.89,13.17
260.16,-19.83
260.42,21.17
260.69,31.17
260.96,8.17
261.23,5.17
261.5,-12.83
261.76,-0.83
262.03,25.17
262.3,20.17
262.57,9.17
262.84,5.17
263.11,13.17
263.37,-11.83
263.64,-11.83
263.91,15.17
264.18,27.17
264.45,18.17
264.71,-3.83
264.98,-29.83
265.25,0.17
265.52,23.17
265.79,-8.83
266.05,-17.83
266.32,17.17
266.59,21.17
266.86,26.17
267.13,-15.83
267.39,-6.83
267.66,-4.83
267.93,-17.83
268.2,-15.83
268.47,-9.83
268.73,-10.83
269,-16.83
269.27,-16.83
269.54,-1.83
269.81,-2.83
270.07,-3.83
270.34,1.17
270.61,3.17
270.88,5.17
271.14,1.17
271.41,-29.83
271.68,7.17
271.95,15.17
272.22,-5.83
272.48,16.17
272.75,4.17
273.02,11.17
273.29,-26.83
273.55,-6.83
273.82,-3.83
274.09,6.17
274.36,36.17
274.62,25.17
274.89,11.17
275.16,5.17
275.43,-3.83
275.7,-0.83
275.96,22.17
276.23,31.17
276.5,8.17
276.77,14.17
277.03,13.17
277.3,10.17
277.57,-12.83
277.84,3.17
278.1,-16.83
278.37,15.17
278.64,39.17
278.91,26.17
279.17,9.17
279.44,1.17
279.71,8.17
279.98,32.17
280.24,36.17
280.51,-27.83
280.78,-22.83
281.05,9.17
281.31,-11.83
281.58,10.17
281.85,21.17
282.12,-1.83
282.38,-18.83
282.65,-29.83
282.92,8.17
283.19,8.17
283.45,-8.83
283.72,-13.83
283.99,-19.83
284.25,-9.83
284.52,-8.83
284.79,-16.83
285.06,23.17
285.32,22.17
285.59,-2.83
285.86,-30.83
286.13,-2.83
286.39,9.17
286.66,34.17
286.93,17.17
287.19,10.17
287.46,-12.83
287.73,-2.83
288,2.17
288.26,11.17
288.53,17.17
288.8,2.17
289.06,23.17
289.33,8.17
289.6,4.17
289.87,8.17
290.13,8.17
290.4,-17.83
290.67,-4.83
290.93,30.17
291.2,12.17
291.47,-40.83
291.74,-11.83
292,-17.83
292.27,22.17
292.54,-9.83
292.8,12.17
293.07,-0.83
293.34,-5.83
293.6,-2.83
293.87,-38.83
294.14,-11.83
294.41,0.17
294.67,20.17
294.94,8.17
295.21,3.17
295.47,3.17
295.74,-6.83
296.01,-25.83
296.27,-16.83
296.54,0.17
296.81,5.17
297.07,8.17
297.34,27.17
297.61,13.17
297.87,-2.83
298.14,-2.83
298.41,23.17
298.67,35.17
298.94,25.17
299.21,4.17
299.47,8.17
299.74,-2.83
300.01,-15.83
300.27,21.17
300.54,-0.83
300.81,15.17
301.07,-1.83
301.34,-24.83
301.61,-14.83
301.87,-7.83
302.14,14.17
302.41,28.17
302.67,4.17
302.94,8.17
303.21,11.17
303.47,-20.83
303.74,-21.83
304.01,-1.83
304.27,18.17
304.54,-2.83
304.81,-13.83
305.07,16.17
305.34,24.17
305.61,33.17
305.87,7.17
306.14,25.17
306.41,-12.83
306.67,-1.83
306.94,-48.83
307.21,-43.83
307.47,-15.83
307.74,-28.83
308.01,-8.83
308.27,1.17
308.54,4.17
308.8,-28.83
309.07,-31.83
309.34,-19.83
309.6,6.17
309.87,-15.83
310.14,-29.83
310.4,-39.83
310.67,-32.83
310.93,-19.83
311.2,3.17
311.47,22.17
311.73,-3.83
312,13.17
312.27,37.17
312.53,12.17
312.8,14.17
313.06,4.17
313.33,-17.83
313.6,-8.83
313.86,-13.83
314.13,-19.83
314.4,6.17
314.66,-12.83
314.93,-41.83
315.19,8.17
315.46,12.17
315.73,1.17
315.99,52.17
316.26,8.17
316.52,7.17
316.79,-2.83
317.06,-17.83
317.32,-14.83
317.59,3.17
317.86,-27.83
318.12,-37.83
318.39,-22.83
318.65,-38.83
318.92,-16.83
319.19,-19.83
319.45,-12.83
319.72,-24.83
319.98,18.17
320.25,20.17
320.52,-1.83
320.78,-18.83
321.05,-1.83
321.31,10.17
321.58,-28.83
321.84,-15.83
322.11,-5.83
322.38,-9.83
322.64,-6.83
322.91,5.17
323.17,1.17
323.44,-31.83
323.71,-4.83
323.97,-22.83
324.24,-5.83
324.5,-3.83
324.77,-9.83
325.03,-14.83
325.3,-18.83
325.57,-26.83
325.83,-2.83
326.1,14.17
326.36,28.17
326.63,-26.83
326.89,-11.83
327.16,7.17
327.43,-1.83
327.69,-2.83
327.96,-2.83
328.22,-4.83
328.49,29.17
328.75,-13.83
329.02,9.17
329.29,-15.83
329.55,-30.83
329.82,-7.83
330.08,9.17
330.35,-9.83
330.61,8.17
330.88,1.17
331.14,9.17
331.41,9.17
331.68,37.17
331.94,-3.83
332.21,7.17
332.47,7.17
332.74,-6.83
333,-15.83
