Tiempo,Voltaje,Corriente
4:43:26 PM,0.000139,0
4:43:28 PM,0.000139,0
4:43:31 PM,0.000139,0
4:43:33 PM,0.000138,0
4:43:35 PM,0.000138,0
4:43:37 PM,0.000138,0
4:43:40 PM,0.000138,0
4:43:42 PM,0.000138,0
4:43:44 PM,0.000138,0
4:43:46 PM,0.000138,0
4:43:48 PM,0.000138,0
4:43:51 PM,0.000137,0
4:43:53 PM,0.000137,0
4:43:55 PM,0.000137,0
4:43:57 PM,0.000137,0
4:44:00 PM,0.000137,0
4:44:02 PM,0.000137,0
4:44:04 PM,0.000137,0
4:44:06 PM,0.000137,0
4:44:08 PM,0.000137,0
4:44:11 PM,0.000137,0
4:44:13 PM,0.000137,0
4:44:15 PM,0.000137,0
4:44:17 PM,0.000136,0
4:44:20 PM,0.000137,0
4:44:22 PM,0.000137,0
4:44:24 PM,0.000136,0
4:44:26 PM,0.000136,0
4:44:28 PM,0.000136,0
4:44:31 PM,0.000136,0
4:44:33 PM,0.00017,0
4:44:35 PM,0.328281,0
4:44:37 PM,0.420442,0
4:44:40 PM,0.420437,0
4:44:42 PM,0.420423,0
4:44:44 PM,0.421003,0
4:44:46 PM,0.421002,0
4:44:48 PM,0.421008,0
4:44:51 PM,0.421006,0
4:44:53 PM,0.421,0
4:44:55 PM,0.420998,0
4:44:57 PM,0.421002,0
4:45:00 PM,0.420991,0
4:45:02 PM,0.420995,0
4:45:04 PM,0.421003,0
4:45:06 PM,0.421003,0
4:45:08 PM,0.420999,0
4:45:11 PM,0.421007,0
4:45:13 PM,0.420996,0
4:45:15 PM,0.420998,0
4:45:17 PM,0.420992,0
4:45:19 PM,0.420995,0
4:45:22 PM,0.421005,0
4:45:24 PM,0.421,0
4:45:26 PM,0.421001,0
4:45:28 PM,0.420988,0
4:45:31 PM,0.420985,0
4:45:33 PM,0.420984,0
4:45:35 PM,0.420983,0
4:45:37 PM,0.420981,0
4:45:40 PM,0.421062,0
4:45:42 PM,0.746384,0.007079
4:45:44 PM,0.838537,0.007121
4:45:46 PM,0.838543,0.007133
4:45:48 PM,0.838536,0.007104
4:45:50 PM,0.839486,0.007152
4:45:53 PM,0.839488,0.007143
4:45:55 PM,0.839506,0.007141
4:45:57 PM,0.839499,0.00715
4:45:59 PM,0.839486,0.007122
4:46:01 PM,0.839524,0.007132
4:46:04 PM,0.839511,0.007127
4:46:06 PM,0.8395,0.007119
4:46:08 PM,0.839481,0.007124
4:46:10 PM,0.839543,0.00714
4:46:13 PM,0.839503,0.007125
4:46:15 PM,0.839543,0.007148
4:46:17 PM,0.839526,0.007138
4:46:19 PM,0.839525,0.007123
4:46:21 PM,0.839521,0.007116
4:46:24 PM,0.839492,0.007124
4:46:26 PM,0.839488,0.007162
4:46:28 PM,0.839465,0.007109
4:46:30 PM,0.839501,0.007114
4:46:33 PM,0.839463,0.007123
4:46:35 PM,0.8395,0.007123
4:46:37 PM,0.839506,0.007137
4:46:39 PM,0.839506,0.007103
4:46:41 PM,0.839525,0.007119
4:46:44 PM,0.839502,0.007148
4:46:46 PM,0.839723,0.008191
4:46:48 PM,1.16398,0.010557
4:46:50 PM,1.25554,0.010578
4:46:53 PM,1.25554,0.01054
4:46:55 PM,1.2555,0.010563
4:46:57 PM,1.25716,0.010577
4:46:59 PM,1.25715,0.010561
4:47:01 PM,1.25713,0.010557
4:47:04 PM,1.25714,0.010577
4:47:06 PM,1.25713,0.010573
4:47:08 PM,1.25715,0.010581
4:47:10 PM,1.25713,0.010575
4:47:13 PM,1.25715,0.010585
4:47:15 PM,1.2572,0.010576
4:47:17 PM,1.25713,0.01059
4:47:19 PM,1.25712,0.010585
4:47:21 PM,1.25712,0.010557
4:47:24 PM,1.25717,0.010606
4:47:26 PM,1.25712,0.010588
4:47:28 PM,1.25713,0.010578
4:47:30 PM,1.25714,0.010561
4:47:33 PM,1.25712,0.010578
4:47:35 PM,1.25717,0.010585
4:47:37 PM,1.25711,0.010575
4:47:39 PM,1.25711,0.010549
4:47:41 PM,1.25712,0.010592
4:47:44 PM,1.2571,0.010566
4:47:46 PM,1.25713,0.010582
4:47:48 PM,1.25713,0.010592
4:47:50 PM,1.25705,0.010562
4:47:53 PM,1.25717,0.011646
4:47:55 PM,1.58312,0.01401
4:47:57 PM,1.67345,0.014014
4:47:59 PM,1.67342,0.014018
4:48:01 PM,1.67334,0.014028
4:48:04 PM,1.67566,0.014043
4:48:06 PM,1.67569,0.01403
4:48:08 PM,1.67564,0.01402
4:48:10 PM,1.67561,0.014051
4:48:13 PM,1.67564,0.014035
4:48:15 PM,1.67561,0.014039
4:48:17 PM,1.67562,0.014026
4:48:19 PM,1.67563,0.014037
4:48:21 PM,1.67561,0.014067
4:48:24 PM,1.67554,0.014036
4:48:26 PM,1.67559,0.014069
4:48:28 PM,1.67553,0.014052
4:48:30 PM,1.67552,0.014027
4:48:33 PM,1.67552,0.014039
4:48:35 PM,1.67552,0.014016
4:48:37 PM,1.67552,0.01404
4:48:39 PM,1.67556,0.014043
4:48:41 PM,1.67552,0.014027
4:48:44 PM,1.67556,0.014053
4:48:46 PM,1.67552,0.014048
4:48:48 PM,1.67549,0.014041
4:48:50 PM,1.67544,0.014034
4:48:52 PM,1.67549,0.014035
4:48:55 PM,1.67548,0.014012
4:48:57 PM,1.67545,0.014045
4:48:59 PM,1.67351,0.015117
4:49:01 PM,2.00347,0.017475
4:49:04 PM,2.09164,0.017475
4:49:06 PM,2.09158,0.017494
4:49:08 PM,2.09158,0.017489
4:49:10 PM,2.09444,0.017508
4:49:13 PM,2.09448,0.017528
4:49:15 PM,2.09441,0.017497
4:49:17 PM,2.09439,0.017499
4:49:19 PM,2.09442,0.017512
4:49:21 PM,2.09438,0.017531
4:49:24 PM,2.09441,0.017491
4:49:26 PM,2.09442,0.017509
4:49:28 PM,2.0943,0.017501
4:49:30 PM,2.09428,0.01752
4:49:32 PM,2.09434,0.017502
4:49:35 PM,2.09436,0.017505
4:49:37 PM,2.09426,0.017507
4:49:39 PM,2.09424,0.017501
4:49:41 PM,2.09425,0.017517
4:49:44 PM,2.09428,0.017506
4:49:46 PM,2.09425,0.017493
4:49:48 PM,2.09426,0.017502
4:49:50 PM,2.09427,0.017504
4:49:52 PM,2.09424,0.017487
