Longitud,Amplitud
621.44,3
679.68,2
878.59,2
886.48,1
893.08,400
915.83,300
923.39,150
940.8,200
962.74,100
969.13,50
988.89,1
1009.29,2
1068.03,5
1099.26,800
1161.95,2
1250.58,80
1259.24,8
1268.82,100
1307.75,5
1307.93,300
1321.71,400
1331.74,400
1350.07,80
1361.27,200
1402.62,20
1414.43,200
1435.51,10
1619.46,15
1623.95,120
1628.25,20
1649.94,150
1653.64,50
1672.41,200
1681.4,9
1702.73,100
1707.4,100
1727.18,120
1732.14,250
1759.75,15
1775.68,20
1783.7,40
1796.22,30
1796.9,200
1798.74,60
1803.89,30
1808.29,40
1820.34,400
1832.74,5
1849.5,1000
1869.23,160
1870.55,300
1875.54,200
1894.77,1
1900.28,20
1927.6,30
1942.27,300
1972.94,100
1973.89,200
1987.98,150
2026.97,90
2052.93,90
2148,70
2247.55,5
2262.23,60
2302.06,20
2314.15,7
2323.2,15
2340.57,5
2345.43,20
2352.48,20
2378.32,100
2380,20
2380.55,4
2399.38,40
2399.73,20
2400.49,10
2407.35,60
2414.13,50
2431.65,8
2441.06,5
2446.9,20
2464.06,15
2480.56,5
2482,40
2482.72,30
2483.82,40
2484.5,7
2534.77,90
2536.52,15000
2563.86,25
2576.29,25
2578.91,5
2612.92,2
2617.97,4
2625.19,15
2639.78,5
2652.04,250
2653.69,400
2655.13,100
2670.49,3
2674.91,5
2698.83,50
2699.38,50
2705.36,80
2724.43,70
2752.78,80
2759.71,20
2769.22,6
2803.46,40
2804.43,30
2805.34,2
2806.77,2
2814.93,150
2844.76,3
2847.68,750
2856.94,50
2893.6,150
2916.27,150
2925.41,60
2935.94,150
2947.08,400
2967.28,1200
3021.5,300
3023.47,120
3025.61,30
3027.49,50
3090.05,15
3125.67,400
3131.55,320
3131.84,320
3208.2,400
3264.06,400
3283.02,5
3312.28,12
3341.48,80
3385.25,100
3389.01,8
3450.77,5
3451.69,400
3500.35,3
3538.88,4
3549.42,200
3557.24,5
3650.15,2800
3654.84,300
3662.88,80
3663.28,240
3701.44,30
3704.17,35
3801.66,30
3803.51,15
3806.38,100
3901.87,20
3906.37,60
3918.92,100
3983.96,200
4046.56,1800
4077.83,150
4108.05,40
4122.07,70
4140.34,10
4216.74,100
4339.22,250
4347.49,400
4358.33,4000
4398.62,100
4470.58,15
4552.84,12
4660.28,90
4797.01,50
4855.72,80
4869.85,10
4883,5
4889.91,5
4916.07,80
4970.37,5
4973.57,80
4980.64,5
5102.7,20
5120.64,40
5128.45,100
5137.94,20
5210.82,30
5290.74,20
5316.78,5
5354.05,60
5384.63,30
5460.74,1100
5549.63,30
5675.86,160
5695.71,6
5769.6,240
5789.66,100
5790.66,280
5803.78,140
5859.25,60
5871.73,60
5871.98,20
6072.72,20
6149.5,1000
6220.35,25
6234.4,30
6418.98,35
6501.38,40
6521.13,80
6584.26,10
6610.12,6
6709.29,30
6716.43,160
6907.52,250
7081.9,250
7091.86,200
7346.37,40
7485.87,100
7517.46,12
7728.82,20
7808.1,7
7944.66,100
7946.75,25
7984.51,50
8151.64,5
10139.75,2000
11287.4,240
13209.95,120
13426.57,140
13468.38,60
13505.58,80
13570.21,500
13673.51,450
13950.55,200
15295.82,500
16881.48,100
16920.16,400
16942,300
17072.79,500
17109.93,400
17116.75,20
17198.67,20
17213.2,20
17329.41,70
17436.18,30
18130.38,50
19700.17,40
22493.28,250
23253.07,250
32148.06,250
36303.03,250
