Amplitud,Longitud
80,1250.564
8,1259.242
100,1268.825
5,1307.751
20,1402.619
10,1435.503
1000,1849.492
60,2262.21
20,2302.065
20,2345.44
100,2378.325
20,2380.004
40,2399.349
20,2399.729
20,2446.9
15,2464.064
40,2481.999
30,2482.713
40,2483.821
90,2534.769
15000,2536.506
25,2563.861
25,2576.29
250,2652.043
400,2653.683
100,2655.13
50,2698.831
80,2752.783
20,2759.71
40,2803.471
30,2804.438
750,2847.675
50,2856.939
150,2893.598
150,2916.227
60,2925.413
1200,2967.283
300,3021.5
120,3023.476
30,3025.608
50,3027.49
400,3125.67
320,3131.551
320,3131.842
80,3341.481
2800,3650.157
300,3654.839
80,3662.883
240,3663.281
30,3701.432
35,3704.17
30,3801.66
20,3901.867
60,3906.372
200,3983.839
1800,4046.572
150,4077.838
40,4108.057
250,4339.224
400,4347.496
4000,4358.337
80,4916.068
1100,5460.753
160,5675.922
240,5769.598
280,5790.663
20,6072.713
30,6234.402
160,6716.429
250,6907.461
240,11287.407
