,INTENSIDAD,,,,,,TRANSMITANCIA,,
Longitud de Onda,Hg-Lamp,,Cristal Chico,,Cristal Gde,,Chico,,Gde.
,,,,,,,,,
199.33,2382,,2374,,2373,,99.66414777,,99.62216625
200.13,12.67,,2.29,,0.13,,18.074191,,1.026045777
200.93,10.67,,0.29,,-0.87,,2.717900656,,-8.153701968
201.73,12.67,,1.29,,0.13,,10.18153118,,1.026045777
202.53,11.67,,2.29,,-0.87,,19.62296487,,-7.455012853
203.33,11.67,,2.29,,-0.87,,19.62296487,,-7.455012853
204.13,12.67,,1.29,,1.13,,10.18153118,,8.918705604
204.94,11.67,,1.29,,0.13,,11.05398458,,1.113967438
205.74,12.67,,2.29,,0.13,,18.074191,,1.026045777
206.54,14.67,,1.29,,2.13,,8.793456033,,14.5194274
207.34,17.67,,2.29,,-0.87,,12.9598189,,-4.923599321
208.14,15.67,,0.29,,1.13,,1.85067007,,7.211231653
208.94,16.67,,3.29,,1.13,,19.73605279,,6.778644271
209.74,20.67,,2.29,,1.13,,11.07885825,,5.466860184
210.54,22.67,,0.29,,1.13,,1.279223644,,4.984561094
211.34,21.67,,3.29,,1.13,,15.18227965,,5.214582372
212.14,26.67,,1.29,,1.13,,4.836895388,,4.236970379
212.94,30.67,,1.29,,-0.87,,4.206064558,,-2.83664819
213.74,29.67,,4.29,,1.13,,14.45904954,,3.808560836
214.55,30.67,,4.29,,2.13,,13.98761004,,6.944897294
215.35,35.67,,1.29,,-2.87,,3.616484441,,-8.045977011
216.15,41.67,,2.29,,-1.87,,5.495560355,,-4.487640989
216.95,44.67,,4.29,,1.13,,9.603760913,,2.529661966
217.75,46.67,,3.29,,1.13,,7.049496465,,2.421255625
218.55,47.67,,2.29,,-0.87,,4.80385987,,-1.825047199
219.35,50.67,,5.29,,0.13,,10.44010262,,0.256562068
220.15,54.67,,4.29,,0.13,,7.847082495,,0.237790379
220.95,63.67,,3.29,,1.13,,5.167268729,,1.77477619
221.75,67.67,,3.29,,0.13,,4.861829467,,0.192108763
222.55,67.67,,7.29,,5.13,,10.77286833,,7.580907344
223.35,74.67,,6.29,,2.13,,8.423731083,,2.852551225
224.15,85.67,,7.29,,-1.87,,8.509396522,,-2.182794444
224.95,97.67,,7.29,,1.13,,7.463909082,,1.1569571
225.75,106.67,,5.29,,4.13,,4.959220024,,3.871754008
226.55,120.67,,6.29,,0.13,,5.212563189,,0.107731831
227.35,124.67,,8.29,,3.13,,6.649554825,,2.510628058
228.15,135.67,,6.29,,3.13,,4.636249724,,2.307068622
228.94,149.67,,7.29,,-0.87,,4.870715574,,-0.581278813
229.74,166.67,,7.29,,0.13,,4.373912522,,0.07799844
230.54,181.67,,10.29,,1.13,,5.664116255,,0.622006936
231.34,196.67,,10.29,,3.13,,5.23211471,,1.591498449
232.14,203.67,,11.29,,2.13,,5.543280797,,1.045809398
232.94,212.67,,11.29,,-0.87,,5.308694221,,-0.409084497
