Corriente,Potencia,,,Voltaje
0,0,,,0
7.003,0.00572,,,0.14006
14.118,0.014,,,0.28236
21.139,0.0245,,,0.42278
28.106,0.0414,,,0.56212
35.0975,0.347,,,0.70195
42.1505,5.12,,,0.84301
49.119,10.78,,,0.98238
56.114,16.5,,,1.12228
63.115,22.1,,,1.2623
70.1,27.6,,,1.402
77.095,32.7,,,1.5419
84.11,37.5,,,1.6822
91.14,42,,,1.8228
98.165,46.2,,,1.9633
105.12,50,,,2.1024
112.12,53.6,,,2.2424
119.175,56.8,,,2.3835
126.125,59.5,,,2.5225
133.06,62.1,,,2.6612
139.94,64.3,,,2.7988
146.865,66.4,,,2.9373
153.775,68.3,,,3.0755
160.5765,70,,,3.21153
167.71,71.5,,,3.3542
174.625,73,,,3.4925
181.64,74.3,,,3.6328
188.54,75,,,3.7708
