Corriente,Potencia,,Voltaje
0,0,,0
7.003,0.00502,,0.14006
14.118,0.0134,,0.28236
21.139,0.0253,,0.42278
28.106,0.042,,0.56212
35.0975,0.0655,,0.70195
42.1505,0.0991,,0.84301
49.119,0.147,,0.98238
56.114,0.22,,1.12228
63.115,0.386,,1.2623
70.1,2.27,,1.402
77.095,5.24,,1.5419
84.11,8.5,,1.6822
91.14,12.5,,1.8228
98.165,16.6,,1.9633
105.12,21,,2.1024
112.12,25.3,,2.2424
119.175,29.4,,2.3835
126.125,33.3,,2.5225
133.06,37,,2.6612
139.94,40.5,,2.7988
146.865,43.7,,2.9373
153.775,46.7,,3.0755
160.5765,49.3,,3.21153
167.71,51.6,,3.3542
174.625,53.7,,3.4925
181.64,55.6,,3.6328
188.54,57.2,,3.7708
195.47,58.7,,3.9094
209.24,61.2,,4.1848
212.77,61.8,,4.2554
