Tiempo,Corriente,Temperatura
0.0004646,4.06E-05,25.31
1.1144573,4.07E-05,25.24
2.1341228,4.07E-05,25.25
3.1529651,4.07E-05,25.31
4.172984,4.07E-05,25.32
5.1929189,4.06E-05,25.3
6.2129425,4.06E-05,25.29
7.2321183,4.06E-05,25.29
8.2539179,4.07E-05,25.29
9.2773486,4.06E-05,25.25
10.29631,4.06E-05,25.31
11.3158222,4.08E-05,25.32
12.3356203,4.07E-05,25.26
13.3554087,0.000464430719,25.23
14.3744487,0.00185108871,25.29
15.3939552,0.00323210167,25.29
16.413489,0.00415226863,25.29
17.4330831,0.00415210193,25.29
18.4530769,0.00415208563,25.25
19.4728086,0.00415206607,25.29
20.4929569,0.00415207399,25.29
21.5119886,0.00415202183,25.29
22.5314006,0.00415194127,25.29
23.5512162,0.00415194826,25.25
24.5707285,0.00415210984,25.3
25.5897052,0.00415207166,25.31
26.609734,0.00415217736,25.31
27.6289188,0.00415205443,25.34
28.6485233,0.00415196549,25.34
29.6678627,0.00415208702,25.3
30.6872241,0.00415222486,25.31
31.7067748,0.00415187748,25.36
32.7258849,0.00415190029,25.37
33.7450649,0.00415189657,25.38
34.7649366,0.00415195571,25.38
35.7843335,0.00415209447,25.26
36.803641,0.0041521755,25.31
37.8226465,0.00415213126,25.32
38.8418404,0.00415210844,25.36
39.8617073,0.00415216153,25.3
40.8806766,0.004152223,25.35
41.9006399,0.00508553907,25.38
42.9197463,0.00684075662,25.36
43.9395357,0.00829591788,25.36
44.9591925,0.00829600449,25.38
45.979025,0.00829567387,25.36
46.9981268,0.008295984,25.32
48.0204172,0.00829608645,25.32
49.0400051,0.00829598587,25.38
50.0593546,0.00829600915,25.32
51.0790399,0.00829626154,25.32
52.0984383,0.00829628761,25.32
53.1179923,0.00829623546,25.36
54.1376804,0.00829600077,25.36
55.1574727,0.00829592626,25.42
56.1766964,0.00829608645,25.38
57.1960481,0.00829615071,25.36
58.2150953,0.00829649437,25.38
59.235707,0.0082966974,25.42
60.254761,0.00829649344,25.42
61.2739771,0.00970451161,25.42
62.2932763,0.0110890259,25.42
63.3131926,0.012438422,25.32
64.4277094,0.0124391084,25.36
65.4469699,0.0124376341,25.38
66.4669205,0.0124377757,25.36
67.4857607,0.0124376378,25.42
68.5051068,0.012438205,25.38
69.5241003,0.0124383959,25.38
70.5434945,0.0124381911,25.38
71.5628639,0.012438327,25.42
72.5838972,0.0124385673,25.38
73.6066554,0.0124403052,25.42
74.6262026,0.0124406227,25.44
75.6459243,0.0124395508,25.44
76.6652004,0.0124411415,25.44
77.684746,0.0124413557,25.42
78.7040619,0.0124411927,25.44
79.7239953,0.0124411806,25.42
80.7441123,0.0124414348,25.38
81.764253,0.0124413603,25.44
82.7835475,0.0124412598,25.36
83.8028097,0.0124417105,25.42
84.8222393,0.0124417692,25.42
85.8418915,0.0124423317,25.36
86.8615123,0.0124418372,25.36
87.8808845,0.012441717,25.42
88.9002767,0.0124417068,25.42
89.9192872,0.0124418241,25.42
90.9387202,0.0124418707,25.44
91.9586749,0.012442233,25.44
92.9779797,0.0124427443,25.39
93.9971569,0.0124427936,25.39
95.0165676,0.0124423773,25.47
96.035452,0.0124427005,25.42
97.0548318,0.0124421445,25.4
98.0741718,0.012442517,25.46
99.093985,0.0124430628,25.44
100.1223667,0.0124425487,25.33
101.1421301,0.0124425254,25.38
102.1617479,0.0124430116,25.44
103.2074666,0.012442884,25.42
104.2269236,0.0124427992,25.44
105.2462807,0.0124424854,25.44
106.3462611,0.0124430945,25.36
107.3654712,0.0124429194,25.42
108.3859883,0.012443128,25.42
109.4057738,0.0124432472,25.38
110.4255048,0.0124433431,25.44
111.4443912,0.012443359,25.38
112.463707,0.0124434772,25.42
113.4830986,0.0124427611,25.42
114.5024976,0.0124430796,25.42
115.527655,0.0124432202,25.48
116.5477294,0.0124434409,25.44
117.5672551,0.0124432155,25.38
118.5864304,0.0124436635,25.44
119.6060922,0.0124432146,25.42
120.6547198,0.0124434959,25.38
121.6749211,0.0124434456,25.42
122.6950176,0.0124435601,25.42
123.7398031,0.0124440183,25.42
124.7586411,0.0124438358,25.44
