Tiempo,Corriente,Temperatura,Corriente2,,
0.0057766,0.000181016643,21,0.181016643,1,21
1.1255745,0.000181253373,21.43,0.181253373,2,21.43
2.1451138,0.000181165145,22.51,0.181165145,3,22.51
3.1645677,0.000181013063,22.52,0.181013063,4,22.52
4.1835328,0.000181143928,22.52,0.181143928,5,22.52
5.2033891,0.000181017894,22.42,0.181017894,6,22.42
6.2230515,0.000181082228,22.44,0.181082228,7,22.44
7.2441046,0.000181027644,22.44,0.181027644,8,22.44
8.263468,0.000180994189,22.44,0.180994189,9,22.44
9.2829192,0.000181094903,22.52,0.181094903,10,22.52
10.3028903,0.000181104041,22.56,0.181104041,11,22.56
11.3231311,0.000181105948,22.44,0.181105948,12,22.44
12.3427289,0.000943408405,22.43,0.943408405,13,22.43
13.361934,0.00249979505,22.44,2.49979505,14,22.44
14.3810434,0.00365208834,22.46,3.65208834,15,22.46
15.4004587,0.00365223106,22.46,3.65223106,16,22.46
16.4201936,0.00365236564,22.46,3.65236564,17,22.46
17.4404171,0.00365218962,22.46,3.65218962,18,22.46
18.4598695,0.00365198054,22.46,3.65198054,19,22.46
19.4795735,0.00365225737,22.5,3.65225737,20,22.5
20.4988325,0.00365229672,22.44,3.65229672,21,22.44
21.5187988,0.00365233328,22.4,3.65233328,22,22.4
22.5380248,0.00365193909,22.5,3.65193909,23,22.5
23.557774,0.00365215889,22.46,3.65215889,24,22.46
24.5768356,0.003652232,22.5,3.652232,25,22.5
25.5963544,0.00365217938,22.44,3.65217938,26,22.44
26.6171992,0.0036519533,22.4,3.6519533,27,22.4
27.6362182,0.003652076,22.44,3.652076,28,22.44
28.6575234,0.00365202501,22.44,3.65202501,29,22.44
29.6776479,0.0036519838,22.46,3.6519838,30,22.46
30.6974584,0.00365196308,22.44,3.65196308,31,22.44
31.716915,0.00365190138,22.4,3.65190138,32,22.4
32.7363406,0.00365213607,22.42,3.65213607,33,22.42
33.755916,0.00365199544,22.4,3.65199544,34,22.4
34.7754153,0.0036520739,22.4,3.6520739,35,22.4
35.7956524,0.00365213304,22.4,3.65213304,36,22.4
36.8151557,0.0036521214,22.44,3.6521214,37,22.44
37.8349736,0.00365212396,22.34,3.65212396,38,22.34
38.8543645,0.00365212582,22.39,3.65212582,39,22.39
39.8736142,0.00365222292,22.49,3.65222292,40,22.49
40.8929605,0.00365214888,22.44,3.65214888,41,22.44
41.9125198,0.00365230906,22.44,3.65230906,42,22.44
42.9321721,0.00365236238,22.46,3.65236238,43,22.46
43.9515556,0.00365237821,22.46,3.65237821,44,22.46
44.9712376,0.00365225761,22.4,3.65225761,45,22.4
45.9903768,0.0036522136,22.4,3.6522136,46,22.4
47.0101097,0.00365252653,22.4,3.65252653,47,22.4
48.0302393,0.00365241104,22.44,3.65241104,48,22.44
49.0498914,0.00365264131,22.44,3.65264131,49,22.44
50.0692378,0.00365242245,22.4,3.65242245,50,22.4
51.0889655,0.00365269207,22.4,3.65269207,51,22.4
52.1083732,0.00365262432,22.5,3.65262432,52,22.5
53.1279421,0.00365273701,22.45,3.65273701,53,22.45
54.1468923,0.0036527412,22.44,3.6527412,54,22.44
55.1667258,0.00365293235,22.36,3.65293235,55,22.36
56.1858702,0.003652849,22.35,3.652849,56,22.35
57.2057425,0.00365271582,22.39,3.65271582,57,22.39
58.2256765,0.00365241058,22.46,3.65241058,58,22.46
59.2456481,0.00365268508,22.4,3.65268508,59,22.4
60.2650936,0.00365266134,22.4,3.65266134,60,22.4
61.285091,0.00365259335,22.4,3.65259335,61,22.4
62.3048467,0.0036525831,22.4,3.6525831,62,22.4
63.3246138,0.00365244597,22.46,3.65244597,63,22.46
64.344253,0.00365227297,22.4,3.65227297,64,22.4
65.3633257,0.00365241128,22.4,3.65241128,65,22.4
66.3826511,0.00365230627,22.4,3.65230627,66,22.4
67.4019979,0.00365231605,22.4,3.65231605,67,22.4
68.421168,0.00365256215,22.36,3.65256215,68,22.36
69.4402333,0.00365245831,22.33,3.65245831,69,22.33
70.4590031,0.00365235377,22.35,3.65235377,70,22.35
71.4791064,0.00365235679,22.43,3.65235679,71,22.43
72.4980639,0.00365238939,22.4,3.65238939,72,22.4
73.5178827,0.00365242734,22.36,3.65242734,73,22.36
74.5375102,0.00365233747,22.43,3.65233747,74,22.43
75.5568326,0.00365229393,22.46,3.65229393,75,22.46
76.5760527,0.00365277123,22.44,3.65277123,76,22.44
77.5956861,0.00365288555,22.4,3.65288555,77,22.4
78.6151676,0.00365273281,22.36,3.65273281,78,22.36
79.6353901,0.00365291815,22.38,3.65291815,79,22.38
80.6545638,0.00365264015,22.4,3.65264015,80,22.4
81.7040512,0.00365278311,22.36,3.65278311,81,22.36
82.7241052,0.00365258613,22.39,3.65258613,82,22.39
83.7441488,0.00365287601,22.4,3.65287601,83,22.4
84.7635175,0.0036528916,22.4,3.6528916,84,22.4
85.7830723,0.00365288066,22.36,3.65288066,85,22.36
86.8030548,0.00365287717,22.35,3.65287717,86,22.35
87.8221897,0.00365293072,22.35,3.65293072,87,22.35
88.8413617,0.00365282455,22.35,3.65282455,88,22.35
89.8880432,0.00365282152,22.35,3.65282152,89,22.35
90.9069687,0.00365293514,22.39,3.65293514,90,22.39
