Tiempo,Corriente,Temperatura,Corriente2
0.0003402,1.47E-07,22.24,0.000147202413
1.1151371,-1.07E-07,22.29,-0.000107492326
2.1351258,3.19E-08,22.29,3.18794199E-05
3.1550867,1.88E-08,22.33,1.87908995E-05
4.1740143,2.06E-07,22.29,0.00020600325
5.1935378,-7.69E-08,22.29,-7.68651062E-05
6.2140869,6.85E-05,22.29,0.0684696715
7.233868,6.85E-05,22.29,0.0685494305
8.2531045,6.86E-05,22.27,0.068629597
9.2723119,6.86E-05,22.27,0.0686046914
10.2918198,6.86E-05,22.23,0.0685712366
11.312197,6.86E-05,22.27,0.0686473867
12.3355354,6.86E-05,22.29,0.0686450075
13.3555695,6.87E-05,22.27,0.0686586135
14.3746734,6.87E-05,22.27,0.068680536
15.3967223,6.86E-05,22.21,0.0686171915
16.4175628,6.85E-05,22.25,0.0685464619
17.4363866,6.86E-05,22.27,0.0685548584
18.4558354,6.86E-05,22.33,0.0686030325
19.475978,6.86E-05,22.33,0.0686451385
20.495039,6.88E-05,22.23,0.0687576903
21.5146944,6.90E-05,22.23,0.0689749431
22.534134,0.00219284393,22.23,2.19284393
23.5535689,0.00509218731,22.22,5.09218731
24.5734264,0.00653654523,22.23,6.53654523
25.5952685,0.00653657084,22.27,6.53657084
26.6172888,0.00653655175,22.23,6.53655175
27.6365161,0.00653642788,22.23,6.53642788
28.6553493,0.0065361564,22.23,6.5361564
29.6764934,0.0065362174,22.29,6.5362174
30.6959641,0.0065362812,22.2,6.5362812
31.7158478,0.00653651962,22.21,6.53651962
32.7348417,0.00653649261,22.17,6.53649261
33.7541665,0.00653660995,22.27,6.53660995
34.7730499,0.00653621507,22.23,6.53621507
35.7923472,0.00653655268,22.17,6.53655268
36.8119877,0.0065367408,22.27,6.5367408
37.8314753,0.00653673475,22.19,6.53673475
38.8513551,0.00653702439,22.23,6.53702439
39.8711389,0.00653689214,22.13,6.53689214
40.8912334,0.00653551053,22.26,6.53551053
41.9108618,0.00653644325,22.27,6.53644325
42.9304864,0.00653635105,22.17,6.53635105
43.9506824,0.00653620949,22.17,6.53620949
44.971049,0.00653641717,22.29,6.53641717
45.9901818,0.00653653126,22.23,6.53653126
47.0095472,0.00653657224,22.13,6.53657224
48.0293773,0.00653657643,22.26,6.53657643
49.0486079,0.00653665326,22.23,6.53665326
50.0684102,0.00653605675,22.21,6.53605675
51.0883452,0.00653633149,22.21,6.53633149
52.1077079,0.00653678411,22.21,6.53678411
53.1272678,0.00653670029,22.23,6.53670029
54.1466091,0.00653707422,22.27,6.53707422
55.1664737,0.00653707468,22.17,6.53707468
56.1862547,0.00653716223,22.29,6.53716223
57.2058244,0.00653659226,22.29,6.53659226
58.2254411,0.00653648935,22.27,6.53648935
59.2452438,0.00653678132,22.26,6.53678132
60.2653032,0.0065367287,22.23,6.5367287
61.2850438,0.00653682556,22.27,6.53682556
62.3053354,0.00653679762,22.23,6.53679762
63.3250175,0.00653663976,22.23,6.53663976
64.3442101,0.00653712823,22.27,6.53712823
65.3639722,0.0065370379,22.27,6.5370379
66.3840817,0.00653667002,22.26,6.53667002
67.4035129,0.00653670029,22.21,6.53670029
68.4233799,0.00653666397,22.21,6.53666397
69.4627587,0.00653666863,22.23,6.53666863
70.482383,0.0065367259,22.29,6.5367259
71.501546,0.00653695082,22.33,6.53695082
72.5510711,0.00653719576,22.29,6.53719576
73.5707023,0.00653719063,23.79,6.53719063
74.5899818,0.006537328,24.02,6.537328
75.6638295,0.0065369755,23.97,6.5369755
76.6832102,0.00653678784,24.09,6.53678784
77.7025649,0.00653722276,24.04,6.53722276
78.7540279,0.0065370812,24.03,6.5370812
79.7742071,0.00653724977,24.01,6.53724977
80.7938701,0.00867854338,24.04,8.67854338
81.8477018,0.0108499508,24.07,10.8499508
82.8667623,0.0130007956,24.08,13.0007956
