Tiempo,Corriente,Temperatura,Corriente2
24.0290336,0.126110941,23.53,126.110941
25.0491617,0.126146331,23.49,126.146331
26.1027513,0.126168519,23.49,126.168519
27.122653,0.126195907,23.5,126.195907
28.1426294,0.126220285,23.55,126.220285
29.2044071,0.126231417,23.55,126.231417
30.2241609,0.12622182,23.63,126.22182
31.245049,0.126234292,23.7,126.234292
32.2965038,0.126230821,23.56,126.230821
33.3159542,0.126205414,23.63,126.205414
34.3355268,0.126302033,23.7,126.302033
35.3983478,0.12617588,23.58,126.17588
36.418132,0.125971257,23.69,125.971257
37.4374907,0.125989258,23.7,125.989258
38.4933623,0.125785216,23.7,125.785216
39.5132427,0.125788271,23.6,125.788271
40.5326369,0.125834643,23.69,125.834643
41.5916275,0.125835865,23.76,125.835865
42.6118933,0.125885844,23.7,125.885844
43.6312546,0.125962838,23.78,125.962838
44.686419,0.12591429,23.76,125.91429
45.7071608,0.125966295,23.76,125.966295
46.7262153,0.125984087,23.78,125.984087
47.792546,0.126060843,23.78,126.060843
48.8125072,0.126086547,23.82,126.086547
49.8320103,0.12607789,23.82,126.07789
50.8950888,0.126027643,23.78,126.027643
51.9147867,0.126034751,23.82,126.034751
52.9340891,0.126024529,23.84,126.024529
53.9886356,0.126110255,23.89,126.110255
55.008756,0.126117497,23.85,126.117497
56.0280172,0.126054316,23.89,126.054316
57.0478708,0.126259937,23.85,126.259937
58.067525,0.126333311,23.83,126.333311
59.0899728,0.126391053,23.84,126.391053
60.1092527,0.126377508,24.07,126.377508
61.1290576,0.126362323,24.55,126.362323
62.2189066,0.126342371,24.58,126.342371
63.2381357,0.126313075,24.4,126.313075
64.3139058,0.126282438,24.11,126.282438
65.3339328,0.126243531,24.08,126.243531
66.353572,0.126132205,24.1,126.132205
67.4118349,0.126134127,24.14,126.134127
68.4326169,0.126123726,24.1,126.123726
69.4523755,0.126065,24.05,126.065
70.5156859,0.125959575,23.96,125.959575
71.5351262,0.126175865,23.97,126.175865
72.5550542,0.126022592,23.91,126.022592
73.6086766,0.126138195,23.97,126.138195
74.6286579,0.125914722,23.97,125.914722
75.6483636,0.126069381,23.95,126.069381
76.702201,0.126068636,24.01,126.068636
77.7219755,0.126077681,24.03,126.077681
78.7419515,0.125981494,23.96,125.981494
79.7967278,0.12600702,24.01,126.00702
80.815915,0.125987693,24.01,125.987693
81.8351181,0.126308977,23.97,126.308977
82.8902654,0.126261726,24.01,126.261726
83.9106934,0.126476883,24.09,126.476883
84.9304291,0.126530617,24.08,126.530617
85.992318,0.126545131,24.1,126.545131
87.0125205,0.12655963,24.1,126.55963
88.0321326,0.126569315,24.16,126.569315
89.0513667,0.126583963,24.04,126.583963
90.0708932,0.126586377,24.13,126.586377
91.091905,0.12657991,24.14,126.57991
92.1122212,0.126596972,24.14,126.596972
93.1312797,0.126606598,24.18,126.606598
94.2404742,0.12660028,24.18,126.60028
95.2599559,0.126608371,24.18,126.608371
96.3550324,0.126615598,24.18,126.615598
